,v,vw,o,c,h,l,t,n
0,205256844.0,89.3208,91.1025,88.4075,91.33,88.255,1593144000000,478043
1,130646076.0,89.6679,88.3125,90.445,90.5434,87.82,1593403200000,345350
2,140217996.0,90.9687,90.02,91.2,91.495,90.0,1593489600000,332668
3,110737236.0,91.4261,91.28,91.0275,91.84,90.9775,1593576000000,317158
4,114041468.0,91.761,91.9625,91.0275,92.6175,90.91,1593662400000,304461
5,118655652.0,93.3518,92.5,93.4625,93.945,92.4675,1594008000000,335176
6,112419852.0,93.9268,93.8525,93.1725,94.655,93.0575,1594094400000,312176
7,117091880.0,94.885,94.18,95.3425,95.375,94.09,1594180800000,328566
8,125632928.0,95.6154,96.2625,95.6825,96.3175,94.6725,1594267200000,381750
9,90257320.0,95.4535,95.335,95.92,95.98,94.7052,1594353600000,278154
10,191649140.0,97.9313,97.265,95.4775,99.955,95.2575,1594612800000,582519
11,170984564.0,95.8252,94.84,97.0575,97.255,93.8775,1594699200000,475794
12,153175132.0,97.7985,98.99,97.725,99.2475,96.49,1594785600000,437741
13,110572372.0,96.468,96.5625,96.5225,97.405,95.905,1594872000000,345189
14,92164500.0,96.4832,96.9875,96.3275,97.1475,95.84,1594958400000,257101
15,90317908.0,97.4448,96.4163,98.3575,98.5,96.0625,1595217600000,281653
16,103644436.0,97.8163,99.1725,97.0,99.25,96.7425,1595304000000,328226
17,88994732.0,97.1692,96.6925,97.2725,97.975,96.6025,1595390400000,255648
18,197003632.0,94.0126,96.9984,92.845,97.0775,92.0098,1595476800000,685256
19,185433708.0,91.6042,90.9875,92.615,92.97,89.145,1595563200000,563053
20,121199392.0,94.3839,93.71,94.81,94.905,93.48,1595822400000,342422
21,103581500.0,93.8305,94.3675,93.2525,94.5497,93.2475,1595908800000,277120
22,90329256.0,94.5805,93.75,95.04,95.23,93.7125,1595995200000,260932
23,158116020.0,96.4895,94.1875,96.19,96.2975,93.7675,1596081600000,516222
24,374295468.0,103.4718,102.8838,106.26,106.415,100.825,1596168000000,1145107
25,308150416.0,109.658,108.2,108.9375,111.6364,107.8925,1596427200000,979838
26,172688068.0,109.6574,109.1325,109.665,110.79,108.3875,1596513600000,527331
27,121991952.0,109.6622,109.3775,110.0625,110.3925,108.8975,1596600000000,387414
28,202411900.0,112.4859,110.405,113.9025,114.4125,109.7975,1596686400000,585117
29,198019812.0,111.9905,113.205,111.1125,113.675,110.2925,1596772800000,648627
30,212402024.0,112.3171,112.6,112.7275,113.775,110.0,1597032000000,642375
31,187902376.0,111.0004,111.9688,109.375,112.4825,109.1067,1597118400000,625323
32,165942820.0,112.2537,110.4975,113.01,113.275,110.2975,1597204800000,515437
33,210082064.0,114.9724,114.43,115.01,116.0425,113.9275,1597291200000,633333
34,165423808.0,114.1782,114.8288,114.9075,115.0,113.045,1597377600000,538654
35,119561044.0,114.8375,116.0625,114.6075,116.0875,113.9625,1597636800000,435125
36,105633540.0,115.2166,114.3525,115.5625,116.0,114.0075,1597723200000,388889
37,145538008.0,116.4218,115.9833,115.7075,117.1625,115.61,1597809600000,499399
38,126871188.0,117.3864,115.75,118.275,118.392,115.7334,1597896000000,472757
39,337454640.0,122.6605,119.2625,124.37,124.868,119.25,1597982400000,1092109
40,345905768.0,126.3212,128.6975,125.8575,128.785,123.9363,1598241600000,1287610
41,211234408.0,124.1912,124.6975,124.825,125.1793,123.0525,1598328000000,761144
42,162473268.0,126.0815,126.1791,126.5225,126.9925,125.0825,1598414400000,627481
43,155516384.0,125.6908,127.1425,125.01,127.485,123.8325,1598500800000,679923
44,187529916.0,125.3296,126.0125,124.8075,126.4425,124.5775,1598587200000,690493
45,225631664.0,128.9302,127.58,129.04,131.0,126.0,1598846400000,2753245
46,152050116.0,132.8458,132.76,134.18,134.8,130.53,1598932800000,1494243
47,200117202.0,131.6134,137.59,131.4,137.98,127.0,1599019200000,1841705
48,257589206.0,123.526,126.91,120.88,128.84,120.5,1599105600000,2360712
49,332549990.0,117.9436,120.07,120.96,123.7,110.89,1599192000000,2966979
50,231349531.0,115.3956,113.95,112.82,118.99,112.68,1599537600000,2003625
51,176833475.0,117.4152,117.26,117.32,119.14,115.26,1599624000000,1308828
52,182274291.0,116.0457,120.36,113.49,120.5,112.5,1599710400000,1444575
53,180846525.0,112.0421,114.57,112.0,115.23,110.0,1599796800000,1405577
54,140112337.0,114.5795,114.72,115.355,115.93,112.8,1600056000000,1013512
55,183786539.0,116.4171,118.33,115.54,118.829,113.61,1600142400000,1290594
56,154719375.0,113.639,115.23,112.13,116.0,112.04,1600228800000,1186032
57,177056468.0,110.1388,109.72,110.34,112.2,108.71,1600315200000,1363245
58,287076882.0,107.7831,110.4,106.84,110.88,106.09,1600401600000,1650704
59,195547704.0,106.9383,104.54,110.08,110.19,103.1,1600660800000,1362739
60,183053939.0,110.9711,112.68,111.81,112.86,109.16,1600747200000,1128760
61,150718671.0,109.1458,111.62,107.12,112.11,106.77,1600833600000,1007065
62,167743149.0,108.5536,105.17,108.22,110.25,105.0,1600920000000,981871
63,149981441.0,110.654,108.43,112.28,112.44,107.67,1601006400000,882580
64,137668917.0,114.0428,115.01,114.96,115.32,112.78,1601265600000,866145
65,100060326.0,114.2186,114.55,114.09,115.31,113.57,1601352000000,607009
66,142675133.0,115.9431,113.79,115.81,117.26,113.62,1601438400000,808528
67,115886840.0,116.5914,117.64,116.79,117.72,115.83,1601524800000,673252
68,144707196.0,113.8678,112.89,113.02,115.37,112.22,1601611200000,963891
69,105793839.0,115.4597,113.91,116.5,116.65,113.55,1601870400000,613097
70,161498212.0,114.4362,115.7,113.16,116.12,112.25,1601956800000,1030507
71,96848985.0,114.9212,114.62,115.08,115.55,114.13,1602043200000,577788
72,83477028.0,115.2658,116.25,114.97,116.4,114.5901,1602129600000,520894
73,100506865.0,116.2428,115.28,116.97,117.0,114.92,1602216000000,635346
74,239983770.0,123.0438,120.06,124.4,125.18,119.2845,1602475200000,1409210
